"","X","t","do"
"1",1,"2023-01-20 00:15:00",9.2
"2",2,"2023-01-20 00:30:00",9.2
"3",3,"2023-01-20 00:45:00",9.2
"4",4,"2023-01-20 01:00:00",9.2
"5",5,"2023-01-20 01:15:00",9.2
"6",6,"2023-01-20 01:30:00",9.2
"7",7,"2023-01-20 01:45:00",9.3
"8",8,"2023-01-20 02:00:00",9.3
"9",9,"2023-01-20 02:15:00",9.3
"10",10,"2023-01-20 02:30:00",9.3
"11",11,"2023-01-20 02:45:00",9.3
"12",12,"2023-01-20 03:00:00",9.4
"13",13,"2023-01-20 03:15:00",9.4
"14",14,"2023-01-20 03:30:00",9.4
"15",15,"2023-01-20 03:45:00",9.4
"16",16,"2023-01-20 04:00:00",9.4
"17",17,"2023-01-20 04:15:00",9.4
"18",18,"2023-01-20 04:30:00",9.4
"19",19,"2023-01-20 04:45:00",9.4
"20",20,"2023-01-20 05:00:00",9.5
"21",21,"2023-01-20 05:15:00",9.5
"22",22,"2023-01-20 05:30:00",9.5
"23",23,"2023-01-20 05:45:00",9.5
"24",24,"2023-01-20 06:00:00",9.5
"25",25,"2023-01-20 06:15:00",9.5
"26",26,"2023-01-20 06:30:00",9.5
"27",27,"2023-01-20 06:45:00",9.5
"28",28,"2023-01-20 07:00:00",9.6
"29",29,"2023-01-20 07:15:00",9.6
"30",30,"2023-01-20 07:30:00",9.6
"31",31,"2023-01-20 07:45:00",9.6
"32",32,"2023-01-20 08:00:00",9.6
"33",33,"2023-01-20 08:15:00",9.6
"34",34,"2023-01-20 08:30:00",9.7
"35",35,"2023-01-20 08:45:00",9.7
"36",36,"2023-01-20 09:00:00",9.7
"37",37,"2023-01-20 09:15:00",9.7
"38",38,"2023-01-20 09:30:00",9.7
"39",39,"2023-01-20 09:45:00",9.7
"40",40,"2023-01-20 10:00:00",9.7
"41",41,"2023-01-20 10:15:00",9.7
"42",42,"2023-01-20 10:30:00",9.7
"43",43,"2023-01-20 10:45:00",9.7
"44",44,"2023-01-20 11:00:00",9.7
"45",45,"2023-01-20 11:15:00",9.7
"46",46,"2023-01-20 11:30:00",9.7
"47",47,"2023-01-20 11:45:00",9.7
"48",48,"2023-01-20 12:00:00",9.7
"49",49,"2023-01-20 12:15:00",9.7
"50",50,"2023-01-20 12:30:00",9.7
"51",51,"2023-01-20 12:45:00",9.7
"52",52,"2023-01-20 13:00:00",9.7
"53",53,"2023-01-20 13:15:00",9.7
"54",54,"2023-01-20 13:30:00",9.7
"55",55,"2023-01-20 13:45:00",9.7
"56",56,"2023-01-20 14:00:00",9.7
"57",57,"2023-01-20 14:15:00",9.7
