"","t","h_ft","v_ft_s","cp_ug_l","t_f","trb_fnu","do_mg_l"
"1",2023-05-26 23:15:00,6.22,-0.06,25.86,69.6,32.57,6.4
"2",2023-05-26 23:30:00,6.33,-0.09,21.1,69.6,36.93,6.6
"3",2023-05-26 23:45:00,6.42,-0.12,22.07,69.6,32.16,6.7
"4",2023-05-27,6.5,-0.16,21.3,69.5,32.66,6.8
"5",2023-05-27 00:15:00,6.58,-0.16,20.91,69.4,33.95,6.6
"6",2023-05-27 00:30:00,6.64,-0.18,22.38,69.3,33.64,6.5
"7",2023-05-27 00:45:00,6.7,-0.2,20.41,69.2,38.29,6.6
"8",2023-05-27 01:00:00,6.75,-0.2,20.97,69.2,34.05,6.6
"9",2023-05-27 01:15:00,6.78,-0.2,19.6,69.1,34.52,6.5
"10",2023-05-27 01:30:00,6.79,-0.18,19.45,69,34.44,6.5
"11",2023-05-27 01:45:00,6.77,-0.16,19.31,69,34.99,6.5
"12",2023-05-27 02:00:00,6.74,-0.11,16.66,68.9,32.43,6.4
"13",2023-05-27 02:15:00,6.69,-0.03,16.32,68.9,35.23,6.1
"14",2023-05-27 02:30:00,6.63,0.08,16.64,68.8,36.82,6
"15",2023-05-27 02:45:00,6.56,0.14,15.38,68.8,32.68,6.2
"16",2023-05-27 03:00:00,6.48,0.18,16.04,68.7,31.84,6.2
"17",2023-05-27 03:15:00,6.41,0.22,18.09,68.7,33.04,6.2
"18",2023-05-27 03:30:00,6.33,0.25,18.21,68.7,32.28,6.2
"19",2023-05-27 03:45:00,6.26,0.26,17.34,68.7,33.43,6.1
"20",2023-05-27 04:00:00,6.18,0.28,17.45,68.6,31.28,6.1
"21",2023-05-27 04:15:00,6.11,0.27,17.28,68.6,33.41,6.1
"22",2023-05-27 04:30:00,6.04,0.29,18.54,68.5,33.78,6.1
"23",2023-05-27 04:45:00,5.96,0.29,16.83,68.5,36.6,6.1
"24",2023-05-27 05:00:00,5.88,0.3,18.73,68.4,35.03,6
"25",2023-05-27 05:15:00,5.81,0.31,18.57,68.4,36.79,6
"26",2023-05-27 05:30:00,5.73,0.32,16.87,68.3,37.32,6
"27",2023-05-27 05:45:00,5.66,0.32,17.92,68.3,37.75,6
"28",2023-05-27 06:00:00,5.59,0.33,18.56,68.2,36.27,5.9
"29",2023-05-27 06:15:00,5.53,0.32,19.4,68.2,37.99,5.9
