"","t","do"
"1",2024-12-24 09:15:00,6.7
"2",2024-12-24 09:30:00,6.7
"3",2024-12-24 09:45:00,6.7
"4",2024-12-24 10:00:00,6.8
"5",2024-12-24 10:15:00,6.8
"6",2024-12-24 10:30:00,6.8
"7",2024-12-24 10:45:00,6.8
"8",2024-12-24 11:00:00,6.9
"9",2024-12-24 11:15:00,6.9
"10",2024-12-24 11:30:00,6.9
"11",2024-12-24 11:45:00,6.9
"12",2024-12-24 12:00:00,7
"13",2024-12-24 12:15:00,7
"14",2024-12-24 12:30:00,7
"15",2024-12-24 12:45:00,7
"16",2024-12-24 13:00:00,7
"17",2024-12-24 13:15:00,7
"18",2024-12-24 13:30:00,7.1
"19",2024-12-24 13:45:00,7.1
"20",2024-12-24 14:00:00,7.1
"21",2024-12-24 14:15:00,7.1
"22",2024-12-24 14:30:00,7.1
"23",2024-12-24 14:45:00,7.1
"24",2024-12-24 15:00:00,7.1
"25",2024-12-24 15:15:00,7.1
"26",2024-12-24 15:30:00,7.1
"27",2024-12-24 15:45:00,7.1
"28",2024-12-24 16:00:00,7.1
"29",2024-12-24 16:15:00,7.2
"30",2024-12-24 16:30:00,7.1
"31",2024-12-24 16:45:00,7.1
"32",2024-12-24 17:00:00,7.1
"33",2024-12-24 17:15:00,7.1
"34",2024-12-24 17:30:00,7.1
"35",2024-12-24 17:45:00,7.1
"36",2024-12-24 18:00:00,7.1
"37",2024-12-24 18:15:00,7.1
"38",2024-12-24 18:30:00,7.1
"39",2024-12-24 18:45:00,7.1
"40",2024-12-24 19:00:00,7.1
"41",2024-12-24 19:15:00,7.1
"42",2024-12-24 19:30:00,7.1
"43",2024-12-24 19:45:00,7.1
"44",2024-12-24 20:00:00,7.1
"45",2024-12-24 20:15:00,7.1
"46",2024-12-24 20:30:00,7.1
"47",2024-12-24 20:45:00,7
"48",2024-12-24 21:00:00,7
"49",2024-12-24 21:15:00,7
"50",2024-12-24 21:30:00,7
"51",2024-12-24 21:45:00,7
"52",2024-12-24 22:00:00,7
"53",2024-12-24 22:15:00,7
"54",2024-12-24 22:30:00,7
"55",2024-12-24 22:45:00,7
"56",2024-12-24 23:00:00,7
"57",2024-12-24 23:15:00,7
"58",2024-12-24 23:30:00,7
"59",2024-12-24 23:45:00,7
"60",2024-12-25 00:00:00,7
"61",2024-12-25 00:15:00,7
"62",2024-12-25 00:30:00,7
"63",2024-12-25 00:45:00,7
"64",2024-12-25 01:00:00,7
"65",2024-12-25 01:15:00,7
"66",2024-12-25 01:30:00,7
"67",2024-12-25 01:45:00,6.9
"68",2024-12-25 02:00:00,6.9
"69",2024-12-25 02:15:00,6.9
"70",2024-12-25 02:30:00,6.9
"71",2024-12-25 02:45:00,6.9
"72",2024-12-25 03:00:00,6.9
"73",2024-12-25 03:15:00,6.9
"74",2024-12-25 03:30:00,6.9
"75",2024-12-25 03:45:00,6.9
"76",2024-12-25 04:00:00,6.8
"77",2024-12-25 04:15:00,6.8
"78",2024-12-25 04:30:00,6.8
"79",2024-12-25 04:45:00,6.8
"80",2024-12-25 05:00:00,6.8
"81",2024-12-25 05:15:00,6.8
"82",2024-12-25 05:30:00,6.8
"83",2024-12-25 05:45:00,6.8
"84",2024-12-25 06:00:00,6.8
"85",2024-12-25 06:15:00,6.8
"86",2024-12-25 06:30:00,6.8
"87",2024-12-25 06:45:00,6.7
"88",2024-12-25 07:00:00,6.7
"89",2024-12-25 07:15:00,6.7
"90",2024-12-25 07:30:00,6.7
"91",2024-12-25 07:45:00,6.7
"92",2024-12-25 08:00:00,6.7
"93",2024-12-25 08:15:00,6.7
"94",2024-12-25 08:30:00,6.7
"95",2024-12-25 08:45:00,6.7
"96",2024-12-25 09:00:00,6.7
"97",2024-12-25 09:15:00,6.7
"98",2024-12-25 09:30:00,6.7
"99",2024-12-25 09:45:00,6.7
"100",2024-12-25 10:00:00,6.7
"101",2024-12-25 10:15:00,6.7
"102",2024-12-25 10:30:00,6.7
"103",2024-12-25 10:45:00,6.7
"104",2024-12-25 11:00:00,6.7
"105",2024-12-25 11:15:00,6.7
"106",2024-12-25 11:30:00,6.7
"107",2024-12-25 11:45:00,6.7
"108",2024-12-25 12:00:00,6.7
"109",2024-12-25 12:15:00,6.7
"110",2024-12-25 12:30:00,6.7
"111",2024-12-25 12:45:00,6.7
"112",2024-12-25 13:00:00,6.7
"113",2024-12-25 13:15:00,6.8
"114",2024-12-25 13:30:00,6.8
"115",2024-12-25 13:45:00,6.8
"116",2024-12-25 14:00:00,6.8
"117",2024-12-25 14:15:00,6.8
"118",2024-12-25 14:30:00,6.8
"119",2024-12-25 14:45:00,6.8
"120",2024-12-25 15:00:00,6.8
"121",2024-12-25 15:15:00,6.8
"122",2024-12-25 15:30:00,6.8
"123",2024-12-25 15:45:00,6.8
"124",2024-12-25 16:00:00,6.8
"125",2024-12-25 16:15:00,6.8
"126",2024-12-25 16:30:00,6.8
"127",2024-12-25 16:45:00,6.8
"128",2024-12-25 17:00:00,6.9
"129",2024-12-25 17:15:00,6.9
"130",2024-12-25 17:30:00,6.9
"131",2024-12-25 17:45:00,6.9
"132",2024-12-25 18:00:00,6.9
"133",2024-12-25 18:15:00,6.9
"134",2024-12-25 18:30:00,6.9
"135",2024-12-25 18:45:00,6.9
"136",2024-12-25 19:00:00,6.9
"137",2024-12-25 19:15:00,6.9
"138",2024-12-25 19:30:00,6.9
"139",2024-12-25 19:45:00,6.9
"140",2024-12-25 20:00:00,6.8
"141",2024-12-25 20:15:00,6.8
"142",2024-12-25 20:30:00,6.8
"143",2024-12-25 20:45:00,6.8
"144",2024-12-25 21:00:00,6.8
"145",2024-12-25 21:15:00,6.8
"146",2024-12-25 21:30:00,6.8
"147",2024-12-25 21:45:00,6.8
"148",2024-12-25 22:00:00,6.8
"149",2024-12-25 22:15:00,6.8
"150",2024-12-25 22:30:00,6.8
"151",2024-12-25 22:45:00,6.8
"152",2024-12-25 23:00:00,6.8
"153",2024-12-25 23:15:00,6.8
"154",2024-12-25 23:30:00,6.8
"155",2024-12-25 23:45:00,6.8
"156",2024-12-26 00:00:00,6.8
"157",2024-12-26 00:15:00,6.8
"158",2024-12-26 00:30:00,6.8
"159",2024-12-26 00:45:00,6.8
"160",2024-12-26 01:00:00,6.7
"161",2024-12-26 01:15:00,6.7
"162",2024-12-26 01:30:00,6.7
"163",2024-12-26 01:45:00,6.7
"164",2024-12-26 02:00:00,6.7
"165",2024-12-26 02:15:00,6.7
"166",2024-12-26 02:30:00,6.7
"167",2024-12-26 02:45:00,6.7
"168",2024-12-26 03:00:00,6.7
"169",2024-12-26 03:15:00,6.7
"170",2024-12-26 03:30:00,6.7
"171",2024-12-26 03:45:00,6.7
"172",2024-12-26 04:00:00,6.7
"173",2024-12-26 04:15:00,6.7
"174",2024-12-26 04:30:00,6.7
"175",2024-12-26 04:45:00,6.7
"176",2024-12-26 05:00:00,6.8
"177",2024-12-26 05:15:00,6.8
"178",2024-12-26 05:30:00,6.8
"179",2024-12-26 05:45:00,6.8
"180",2024-12-26 06:00:00,6.8
"181",2024-12-26 06:15:00,6.9
"182",2024-12-26 06:30:00,6.9
"183",2024-12-26 06:45:00,6.9
"184",2024-12-26 07:00:00,6.9
"185",2024-12-26 07:15:00,7
"186",2024-12-26 07:30:00,7
"187",2024-12-26 07:45:00,7
"188",2024-12-26 08:00:00,7
"189",2024-12-26 08:15:00,7
"190",2024-12-26 08:30:00,7.1
"191",2024-12-26 08:45:00,7.1
"192",2024-12-26 09:00:00,7.1
"193",2024-12-26 09:15:00,7.2
"194",2024-12-26 09:30:00,7.2
"195",2024-12-26 09:45:00,7.2
"196",2024-12-26 10:00:00,7.3
"197",2024-12-26 10:15:00,7.3
"198",2024-12-26 10:30:00,7.3
"199",2024-12-26 10:45:00,7.4
"200",2024-12-26 11:00:00,7.4
"201",2024-12-26 11:15:00,7.4
"202",2024-12-26 11:30:00,7.5
"203",2024-12-26 11:45:00,7.5
"204",2024-12-26 12:00:00,7.5
"205",2024-12-26 12:15:00,7.6
"206",2024-12-26 12:30:00,7.6
"207",2024-12-26 12:45:00,7.6
"208",2024-12-26 13:00:00,7.6
"209",2024-12-26 13:15:00,7.7
"210",2024-12-26 13:30:00,7.7
"211",2024-12-26 13:45:00,7.7
"212",2024-12-26 14:00:00,7.7
"213",2024-12-26 14:15:00,7.8
"214",2024-12-26 14:30:00,7.8
"215",2024-12-26 14:45:00,7.8
"216",2024-12-26 15:00:00,7.8
"217",2024-12-26 15:15:00,7.8
"218",2024-12-26 15:30:00,7.8
"219",2024-12-26 15:45:00,7.8
"220",2024-12-26 16:00:00,7.8
"221",2024-12-26 16:15:00,7.8
"222",2024-12-26 16:30:00,7.8
"223",2024-12-26 16:45:00,7.9
"224",2024-12-26 17:00:00,7.9
"225",2024-12-26 17:15:00,7.9
"226",2024-12-26 17:30:00,7.9
"227",2024-12-26 17:45:00,7.9
"228",2024-12-26 18:00:00,7.9
"229",2024-12-26 18:15:00,7.9
"230",2024-12-26 18:30:00,7.9
"231",2024-12-26 18:45:00,7.9
"232",2024-12-26 19:00:00,7.9
"233",2024-12-26 19:15:00,7.9
"234",2024-12-26 19:30:00,7.9
"235",2024-12-26 19:45:00,7.9
"236",2024-12-26 20:00:00,7.9
"237",2024-12-26 20:15:00,7.9
"238",2024-12-26 20:30:00,7.9
"239",2024-12-26 20:45:00,7.9
"240",2024-12-26 21:00:00,7.9
"241",2024-12-26 21:15:00,7.9
"242",2024-12-26 21:30:00,7.9
"243",2024-12-26 21:45:00,7.9
"244",2024-12-26 22:00:00,7.9
"245",2024-12-26 22:15:00,7.9
"246",2024-12-26 22:30:00,7.9
"247",2024-12-26 22:45:00,7.9
"248",2024-12-26 23:00:00,7.9
"249",2024-12-26 23:15:00,7.9
"250",2024-12-26 23:30:00,7.9
"251",2024-12-26 23:45:00,7.9
"252",2024-12-27 00:00:00,7.9
"253",2024-12-27 00:15:00,7.9
"254",2024-12-27 00:30:00,7.9
"255",2024-12-27 00:45:00,7.9
"256",2024-12-27 01:00:00,7.9
"257",2024-12-27 01:15:00,7.9
"258",2024-12-27 01:30:00,7.9
"259",2024-12-27 01:45:00,7.8
"260",2024-12-27 02:00:00,7.8
"261",2024-12-27 02:15:00,7.9
"262",2024-12-27 02:30:00,7.9
"263",2024-12-27 02:45:00,7.9
"264",2024-12-27 03:00:00,7.9
"265",2024-12-27 03:15:00,7.9
"266",2024-12-27 03:30:00,7.9
"267",2024-12-27 03:45:00,7.9
"268",2024-12-27 04:00:00,7.9
"269",2024-12-27 04:15:00,7.9
"270",2024-12-27 04:30:00,7.9
"271",2024-12-27 04:45:00,7.9
"272",2024-12-27 05:00:00,7.9
"273",2024-12-27 05:15:00,7.9
"274",2024-12-27 05:30:00,7.9
"275",2024-12-27 05:45:00,7.9
"276",2024-12-27 06:00:00,8
"277",2024-12-27 06:15:00,8
"278",2024-12-27 06:30:00,8
"279",2024-12-27 06:45:00,8
"280",2024-12-27 07:00:00,8
"281",2024-12-27 07:15:00,8
"282",2024-12-27 07:30:00,8.1
"283",2024-12-27 07:45:00,8.1
"284",2024-12-27 08:00:00,8.1
"285",2024-12-27 08:15:00,8.1
"286",2024-12-27 08:30:00,8.1
"287",2024-12-27 08:45:00,8.2
"288",2024-12-27 09:00:00,8.2
"289",2024-12-27 09:15:00,8.2
"290",2024-12-27 09:30:00,8.2
"291",2024-12-27 09:45:00,8.3
"292",2024-12-27 10:00:00,8.3
"293",2024-12-27 10:15:00,8.4
"294",2024-12-27 10:30:00,8.4
"295",2024-12-27 10:45:00,8.4
"296",2024-12-27 11:00:00,8.4
"297",2024-12-27 11:15:00,8.4
"298",2024-12-27 11:30:00,8.4
"299",2024-12-27 11:45:00,8.5
"300",2024-12-27 12:00:00,8.5
"301",2024-12-27 12:15:00,8.5
"302",2024-12-27 12:30:00,8.5
"303",2024-12-27 12:45:00,8.5
"304",2024-12-27 13:00:00,8.6
"305",2024-12-27 13:15:00,8.6
"306",2024-12-27 13:30:00,8.6
"307",2024-12-27 13:45:00,8.6
"308",2024-12-27 14:00:00,8.6
"309",2024-12-27 14:15:00,8.6
"310",2024-12-27 14:30:00,8.6
"311",2024-12-27 14:45:00,8.6
"312",2024-12-27 15:00:00,8.6
"313",2024-12-27 15:15:00,8.6
"314",2024-12-27 15:30:00,8.6
"315",2024-12-27 15:45:00,8.6
"316",2024-12-27 16:00:00,8.6
"317",2024-12-27 16:15:00,8.6
"318",2024-12-27 16:30:00,8.6
